episode,query_molecule_id,query_index,true_label,predicted_label,correct,distance_to_class_0_prototype,distance_to_class_1_prototype,distance_gap
0,BACE_129,127,0,0,1,37.21033477783203,46.630226135253906,9.419891357421875
0,BACE_121,119,0,0,1,37.085693359375,46.7415771484375,9.6558837890625
0,BACE_117,115,0,0,1,67.46743774414062,83.97347259521484,16.50603485107422
0,BACE_158,156,0,1,0,55.199703216552734,45.718727111816406,9.480976104736328
0,BACE_144,142,0,0,1,50.840396881103516,65.9893798828125,15.148983001708984
0,BACE_240,213,1,1,1,93.5419692993164,75.7913818359375,17.750587463378906
0,BACE_266,239,1,0,0,40.4736442565918,54.51627731323242,14.042633056640625
0,BACE_255,228,1,1,1,79.10770416259766,63.25905990600586,15.848644256591797
0,BACE_45,44,1,0,0,60.78939437866211,61.440032958984375,0.6506385803222656
0,BACE_252,225,1,0,0,47.13372802734375,67.69586181640625,20.5621337890625
1,BACE_134,132,0,1,0,75.67864227294922,63.70021057128906,11.978431701660156
1,BACE_179,177,0,0,1,51.0258903503418,62.4481201171875,11.422229766845703
1,BACE_167,165,0,0,1,50.96503448486328,56.70948791503906,5.744453430175781
1,BACE_129,127,0,0,1,30.706605911254883,54.16343307495117,23.45682716369629
1,BACE_114,112,0,1,0,142.2009735107422,113.25690460205078,28.944068908691406
1,BACE_22,21,1,1,1,52.0200080871582,37.62543487548828,14.394573211669922
1,BACE_75,74,1,1,1,124.44613647460938,99.72608184814453,24.720054626464844
1,BACE_74,73,1,0,0,48.613380432128906,60.5751953125,11.961814880371094
1,BACE_57,56,1,1,1,95.20860290527344,91.96023559570312,3.2483673095703125
1,BACE_10,9,1,1,1,52.682308197021484,30.64824104309082,22.034067153930664
2,BACE_158,156,0,0,1,46.39113235473633,48.13416290283203,1.7430305480957031
2,BACE_171,169,0,1,0,44.6162223815918,38.37506866455078,6.241153717041016
2,BACE_140,138,0,1,0,62.04841995239258,58.085121154785156,3.963298797607422
2,BACE_169,167,0,0,1,20.382829666137695,29.570859909057617,9.188030242919922
2,BACE_107,105,0,1,0,73.38204193115234,68.12908172607422,5.252960205078125
2,BACE_22,21,1,1,1,57.7344970703125,52.16993713378906,5.5645599365234375
2,BACE_83,82,1,1,1,108.04415893554688,96.0276107788086,12.016548156738281
2,BACE_60,59,1,0,0,48.87360763549805,56.37657928466797,7.502971649169922
2,BACE_100,98,1,1,1,55.7757682800293,39.7354736328125,16.040294647216797
2,BACE_81,80,1,1,1,63.037353515625,56.9995002746582,6.037853240966797
3,BACE_114,112,0,1,0,137.9125518798828,133.15185546875,4.7606964111328125
3,BACE_135,133,0,1,0,67.22820281982422,64.03076171875,3.1974411010742188
3,BACE_150,148,0,1,0,55.57242202758789,52.49331283569336,3.0791091918945312
3,BACE_115,113,0,0,1,70.96510314941406,81.49778747558594,10.532684326171875
3,BACE_147,145,0,1,0,66.35417175292969,59.49214553833008,6.862026214599609
3,BACE_12,11,1,1,1,41.60871887207031,37.27220916748047,4.336509704589844
3,BACE_51,50,1,1,1,59.310462951660156,58.720603942871094,0.5898590087890625
3,BACE_9,8,1,0,0,45.49966812133789,54.77404022216797,9.274372100830078
3,BACE_67,66,1,1,1,57.31892776489258,51.56480026245117,5.754127502441406
3,BACE_87,86,1,1,1,44.731014251708984,34.93079376220703,9.800220489501953
4,BACE_196,194,0,0,1,28.566301345825195,71.73938751220703,43.173086166381836
4,BACE_175,173,0,0,1,27.61492156982422,78.71841430664062,51.103492736816406
4,BACE_188,186,0,0,1,34.94440841674805,45.90836715698242,10.963958740234375
4,BACE_114,112,0,1,0,154.72857666015625,137.7233123779297,17.005264282226562
4,BACE_126,124,0,1,0,73.07756042480469,33.954681396484375,39.12287902832031
4,BACE_260,233,1,0,0,35.767948150634766,51.550201416015625,15.78225326538086
4,BACE_93,92,1,1,1,67.23873901367188,40.84095764160156,26.397781372070312
4,BACE_87,86,1,1,1,51.56998825073242,51.149314880371094,0.4206733703613281
4,BACE_81,80,1,1,1,76.80809020996094,64.77117156982422,12.036918640136719
4,BACE_50,49,1,0,0,40.85544967651367,62.35194396972656,21.49649429321289
5,BACE_122,120,0,0,1,49.574928283691406,58.02353286743164,8.448604583740234
5,BACE_133,131,0,0,1,48.63642120361328,66.68795013427734,18.051528930664062
5,BACE_134,132,0,1,0,64.9327163696289,57.546180725097656,7.38653564453125
5,BACE_175,173,0,0,1,47.86819839477539,66.2086410522461,18.340442657470703
5,BACE_167,165,0,0,1,49.028690338134766,56.65738296508789,7.628692626953125
5,BACE_231,204,1,0,0,132.7274932861328,134.4785919189453,1.7510986328125
5,BACE_247,220,1,0,0,37.32195281982422,52.854087829589844,15.532135009765625
5,BACE_56,55,1,0,0,41.277591705322266,42.56756591796875,1.2899742126464844
5,BACE_253,226,1,0,0,55.38191223144531,68.75069427490234,13.368782043457031
5,BACE_2,1,1,1,1,75.55656433105469,53.165016174316406,22.39154815673828
6,BACE_158,156,0,1,0,66.20869445800781,55.04275894165039,11.165935516357422
6,BACE_182,180,0,0,1,24.889802932739258,29.612472534179688,4.72266960144043
6,BACE_134,132,0,1,0,83.86068725585938,55.35868453979492,28.502002716064453
6,BACE_147,145,0,0,1,44.15629959106445,61.51927185058594,17.362972259521484
6,BACE_103,101,0,0,1,63.6783447265625,70.85037994384766,7.172035217285156
6,BACE_65,64,1,0,0,88.84931945800781,92.68699645996094,3.837677001953125
6,BACE_263,236,1,1,1,44.65474319458008,40.36677932739258,4.2879638671875
6,BACE_45,44,1,0,0,74.79801940917969,75.02272033691406,0.224700927734375
6,BACE_31,30,1,1,1,104.05420684814453,93.68989562988281,10.364311218261719
6,BACE_82,81,1,0,0,50.35194396972656,54.22175598144531,3.86981201171875
7,BACE_194,192,0,0,1,46.43781661987305,53.990604400634766,7.552787780761719
7,BACE_105,103,0,1,0,169.3297119140625,163.62069702148438,5.709014892578125
7,BACE_122,120,0,0,1,47.443599700927734,47.739585876464844,0.2959861755371094
7,BACE_190,188,0,0,1,42.173301696777344,42.26991653442383,0.09661483764648438
7,BACE_139,137,0,0,1,38.66105651855469,43.07405471801758,4.412998199462891
7,BACE_20,19,1,1,1,41.52762985229492,40.07613754272461,1.4514923095703125
7,BACE_261,234,1,0,0,46.74581527709961,50.164554595947266,3.4187393188476562
7,BACE_235,208,1,0,0,54.83053207397461,55.15602111816406,0.3254890441894531
7,BACE_17,16,1,1,1,45.80666732788086,42.47249984741211,3.33416748046875
7,BACE_251,224,1,1,1,75.50053405761719,73.1136245727539,2.3869094848632812
8,BACE_179,177,0,1,0,39.36534881591797,35.767478942871094,3.597869873046875
8,BACE_144,142,0,0,1,35.925392150878906,57.559329986572266,21.63393783569336
8,BACE_141,139,0,0,1,21.13097381591797,38.895572662353516,17.764598846435547
8,BACE_169,167,0,1,0,36.009918212890625,29.122074127197266,6.887844085693359
8,BACE_133,131,0,0,1,33.07759094238281,54.16581344604492,21.08822250366211
8,BACE_27,26,1,1,1,41.35082244873047,31.587841033935547,9.762981414794922
8,BACE_53,52,1,1,1,46.89788055419922,42.460731506347656,4.4371490478515625
8,BACE_50,49,1,0,0,42.7476692199707,46.077430725097656,3.329761505126953
8,BACE_17,16,1,1,1,59.51606750488281,50.50507736206055,9.010990142822266
8,BACE_72,71,1,1,1,62.05332946777344,60.95145034790039,1.1018791198730469
9,BACE_111,109,0,1,0,90.97323608398438,38.51399612426758,52.4592399597168
9,BACE_204,202,0,1,0,88.72429656982422,47.4588508605957,41.265445709228516
9,BACE_112,110,0,1,0,63.38026428222656,30.023656845092773,33.35660743713379
9,BACE_187,185,0,1,0,81.01834869384766,36.89699172973633,44.12135696411133
9,BACE_205,203,0,1,0,100.09358215332031,54.09608840942383,45.997493743896484
9,BACE_235,208,1,1,1,77.69506072998047,52.41408157348633,25.28097915649414
9,BACE_47,46,1,1,1,72.23828125,53.662078857421875,18.576202392578125
9,BACE_252,225,1,1,1,82.19090270996094,48.72885513305664,33.4620475769043
9,BACE_28,27,1,1,1,88.83124542236328,40.549503326416016,48.281742095947266
9,BACE_232,205,1,1,1,83.01973724365234,69.80199432373047,13.217742919921875
10,BACE_201,199,0,0,1,25.356151580810547,75.42822265625,50.07207107543945
10,BACE_182,180,0,0,1,35.444095611572266,66.77632141113281,31.332225799560547
10,BACE_169,167,0,0,1,45.117347717285156,68.09477996826172,22.977432250976562
10,BACE_144,142,0,0,1,29.716384887695312,70.95728302001953,41.24089813232422
10,BACE_143,141,0,0,1,51.9603385925293,64.000732421875,12.040393829345703
10,BACE_72,71,1,0,0,61.538692474365234,81.70527648925781,20.166584014892578
10,BACE_23,22,1,1,1,58.14924621582031,42.144935607910156,16.004310607910156
10,BACE_53,52,1,0,0,57.84770202636719,62.40776443481445,4.560062408447266
10,BACE_43,42,1,1,1,40.46614074707031,35.538673400878906,4.927467346191406
10,BACE_257,230,1,0,0,77.72135162353516,93.47303009033203,15.751678466796875
11,BACE_155,153,0,0,1,51.34581756591797,59.143798828125,7.797981262207031
11,BACE_190,188,0,0,1,43.77657699584961,46.670406341552734,2.893829345703125
11,BACE_150,148,0,1,0,57.24081802368164,42.66223907470703,14.57857894897461
11,BACE_182,180,0,0,1,18.803604125976562,36.29927444458008,17.495670318603516
11,BACE_197,195,0,0,1,26.36267852783203,40.65341567993164,14.29073715209961
11,BACE_252,225,1,1,1,55.285789489746094,48.156742095947266,7.129047393798828
11,BACE_2,1,1,1,1,93.76608276367188,67.171875,26.594207763671875
11,BACE_21,20,1,1,1,47.5823860168457,33.85189437866211,13.730491638183594
11,BACE_52,51,1,0,0,34.64230728149414,39.18974304199219,4.547435760498047
11,BACE_35,34,1,1,1,47.98386764526367,39.15127944946289,8.832588195800781
12,BACE_111,109,0,0,1,27.299623489379883,48.296756744384766,20.997133255004883
12,BACE_135,133,0,0,1,33.53557205200195,64.28591918945312,30.750347137451172
12,BACE_173,171,0,1,0,60.647647857666016,45.449440002441406,15.19820785522461
12,BACE_103,101,0,0,1,60.77821350097656,64.27120971679688,3.4929962158203125
12,BACE_140,138,0,0,1,32.82541275024414,64.36465454101562,31.539241790771484
12,BACE_235,208,1,0,0,50.22486114501953,60.182430267333984,9.957569122314453
12,BACE_31,30,1,1,1,100.8941879272461,83.1560287475586,17.7381591796875
12,BACE_43,42,1,0,0,44.418941497802734,50.930564880371094,6.511623382568359
12,BACE_64,63,1,1,1,68.25270080566406,49.805267333984375,18.447433471679688
12,BACE_47,46,1,1,1,65.31460571289062,46.93752670288086,18.377079010009766
13,BACE_109,107,0,1,0,118.81475830078125,100.77200317382812,18.042755126953125
13,BACE_193,191,0,0,1,22.470272064208984,39.06341552734375,16.593143463134766
13,BACE_134,132,0,1,0,89.38785552978516,74.08708190917969,15.300773620605469
13,BACE_106,104,0,1,0,67.9622802734375,45.27837371826172,22.68390655517578
