molecule_id,dataset_index,true_label,original_predicted_label,perturbation,frac,n_atoms_kept,n_edges_kept,predicted_label,flipped,distance_to_class_0_prototype,distance_to_class_1_prototype,distance_gap,closer_prototype
BACE_118,116,0,1,full_graph,,34,76,1,0,77.78750610351562,63.084007263183594,14.703498840332031,1
BACE_118,116,0,1,keep_top_10pct,0.1,4,8,0,1,63.34693145751953,75.38353729248047,12.036605834960938,0
BACE_118,116,0,1,mask_top_10pct,0.1,30,68,1,0,78.9434814453125,65.11754608154297,13.825935363769531,1
BACE_118,116,0,1,keep_top_25pct,0.25,9,19,0,1,65.29613494873047,68.29513549804688,2.9990005493164062,0
BACE_118,116,0,1,mask_top_25pct,0.25,25,57,1,0,66.6886215209961,55.9532356262207,10.73538589477539,1
BACE_118,116,0,1,keep_top_50pct,0.5,17,38,1,0,85.25276947021484,76.38412475585938,8.868644714355469,1
BACE_118,116,0,1,mask_top_50pct,0.5,17,38,1,0,69.26921844482422,68.54522705078125,0.7239913940429688,1
BACE_171,169,0,1,full_graph,,25,56,1,0,58.9095458984375,48.33062744140625,10.57891845703125,1
BACE_171,169,0,1,keep_top_10pct,0.1,3,6,0,1,67.21044921875,74.05860900878906,6.8481597900390625,0
BACE_171,169,0,1,mask_top_10pct,0.1,22,50,1,0,59.55779266357422,49.47305679321289,10.084735870361328,1
BACE_171,169,0,1,keep_top_25pct,0.25,7,14,0,1,49.87175369262695,53.24502944946289,3.3732757568359375,0
BACE_171,169,0,1,mask_top_25pct,0.25,18,42,1,0,72.96417236328125,67.90876770019531,5.0554046630859375,1
BACE_171,169,0,1,keep_top_50pct,0.5,13,28,1,0,52.208248138427734,51.711769104003906,0.4964790344238281,1
BACE_171,169,0,1,mask_top_50pct,0.5,12,28,0,1,66.56118774414062,68.35172271728516,1.7905349731445312,0
BACE_111,109,0,1,full_graph,,33,74,1,0,59.37077331542969,50.0400505065918,9.33072280883789,1
BACE_111,109,0,1,keep_top_10pct,0.1,4,8,0,1,67.00944519042969,76.03753662109375,9.028091430664062,0
BACE_111,109,0,1,mask_top_10pct,0.1,29,66,1,0,57.598663330078125,51.03227996826172,6.566383361816406,1
BACE_111,109,0,1,keep_top_25pct,0.25,9,19,1,0,64.49090576171875,63.05990982055664,1.4309959411621094,1
BACE_111,109,0,1,mask_top_25pct,0.25,24,55,1,0,66.24422454833984,63.128910064697266,3.115314483642578,1
BACE_111,109,0,1,keep_top_50pct,0.5,17,37,1,0,52.52442169189453,50.305721282958984,2.218700408935547,1
BACE_111,109,0,1,mask_top_50pct,0.5,16,37,0,1,67.41211700439453,68.64671325683594,1.2345962524414062,0
BACE_52,51,1,1,full_graph,,28,62,1,0,59.44809341430664,52.52745819091797,6.920635223388672,1
BACE_52,51,1,1,keep_top_10pct,0.1,3,7,0,1,75.30584716796875,79.2389144897461,3.9330673217773438,0
BACE_52,51,1,1,mask_top_10pct,0.1,25,55,1,0,56.96541976928711,52.18044662475586,4.78497314453125,1
BACE_52,51,1,1,keep_top_25pct,0.25,7,16,1,0,60.09929275512695,59.35541534423828,0.7438774108886719,1
BACE_52,51,1,1,mask_top_25pct,0.25,21,46,1,0,66.44180297851562,59.61479187011719,6.8270111083984375,1
BACE_52,51,1,1,keep_top_50pct,0.5,14,31,1,0,56.1324348449707,54.151939392089844,1.9804954528808594,1
BACE_52,51,1,1,mask_top_50pct,0.5,14,31,1,0,68.31285858154297,67.48567199707031,0.8271865844726562,1
BACE_253,226,1,1,full_graph,,32,72,1,0,75.6624526977539,61.43351364135742,14.228939056396484,1
BACE_253,226,1,1,keep_top_10pct,0.1,4,8,0,1,69.59415435791016,77.30833435058594,7.714179992675781,0
BACE_253,226,1,1,mask_top_10pct,0.1,28,64,1,0,76.11772155761719,63.3775749206543,12.74014663696289,1
BACE_253,226,1,1,keep_top_25pct,0.25,8,18,0,1,62.591270446777344,65.95234680175781,3.3610763549804688,0
BACE_253,226,1,1,mask_top_25pct,0.25,24,54,1,0,71.26721954345703,65.47376251220703,5.79345703125,1
BACE_253,226,1,1,keep_top_50pct,0.5,16,36,1,0,64.27392578125,58.350425720214844,5.923500061035156,1
BACE_253,226,1,1,mask_top_50pct,0.5,16,36,1,0,70.14521026611328,68.60244750976562,1.5427627563476562,1
